,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,Prediction
28,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,1
29,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
30,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,0
31,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,1
32,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
33,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
34,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,0
35,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,0
36,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,1
37,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
38,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,0
39,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,1
40,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,0
41,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,0
42,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,0
43,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,1
44,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,1
45,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
46,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,0
47,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
48,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,0
49,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,0
50,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,0
51,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,0
52,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,1
53,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,1
54,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,0
55,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,1
56,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,1
57,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,0
58,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,1
59,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,0
60,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,0
61,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,1
62,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,0
63,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,0
64,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,0
65,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,1
66,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,1
67,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,0
68,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,1
69,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,0
70,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
71,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,0
72,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,0
73,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,0
74,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,1
75,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,0
76,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
77,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
78,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,1
79,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,1
80,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,0
81,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,1
82,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,1
83,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,0
84,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,1
85,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,1
86,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,0
87,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
88,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,1
89,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
90,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
91,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,0
92,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,0
93,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,0
94,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,0
95,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
96,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,0
97,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,1
98,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,1
99,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0
100,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,0
101,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
102,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,0
103,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,0
104,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,0
105,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
106,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,1
107,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,1
108,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
109,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,1
110,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,0
111,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,0
112,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
113,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,0
114,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,0
115,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,0
116,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0
117,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,0
118,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,0
119,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,0
120,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,0
121,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
122,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,0
123,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,1
124,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,0
125,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,1
126,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0
127,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,1
128,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,1
129,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,0
130,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,0
131,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,0
132,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,0
133,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,1
134,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
135,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,0
136,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,1
137,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,0
138,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,0
139,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,0
140,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,0
141,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,1
142,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,1
143,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,0
144,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,0
145,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,0
146,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,1
147,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,0
148,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,0
149,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
150,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,0
151,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,1
152,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
153,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,0
154,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,0
155,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,0
156,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,1
157,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
158,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,0
159,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,0
160,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,0
161,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,1
162,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,0
163,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,0
164,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,0
165,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,1
166,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,1
167,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,0
168,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,0
169,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,0
170,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,0
171,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,0
172,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,1
173,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,0
174,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,0
175,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,0
176,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,0
177,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,0
178,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
179,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,0
180,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,0
181,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,0
182,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,0
183,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,1
184,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,1
185,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,0
186,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,1
187,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,1
188,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,0
189,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
190,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1
191,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
192,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,1
193,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,1
194,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,1
195,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,1
196,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0
197,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,0
198,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
199,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,0
200,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,0
201,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,0
202,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,0
203,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,0
204,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
205,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,0
206,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,0
207,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,1
208,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
209,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,1
210,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,0
211,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,1
212,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,0
213,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
214,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,0
215,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,1
216,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,1
217,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,0
218,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,1
219,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
220,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
221,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
222,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
223,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
224,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,1
225,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,0
226,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,1
227,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,0
228,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
229,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,0
230,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,1
231,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,0
232,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,0
233,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,1
234,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
235,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True,0
236,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0
237,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,1
238,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
239,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,0
240,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,0
241,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,1
242,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
243,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,0
244,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,0
245,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,0
246,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,0
247,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,1
248,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,1
249,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,0
250,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,0
251,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,0
252,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,0
253,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,0
254,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,0
255,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,1
256,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,1
257,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,1
258,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,1
259,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,1
260,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0
261,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,1
262,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,0
263,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,0
264,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,0
265,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,0
266,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,0
267,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,1
268,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,1
269,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,1
270,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True,0
271,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,1
272,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,1
273,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,0
274,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
275,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,1
276,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,0
277,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,0
278,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,0
279,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,1
280,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,0
281,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,0
282,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,0
283,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
284,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True,0
285,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,0
286,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,1
287,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
288,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,1
289,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
290,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,1
291,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,1
292,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,0
293,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,0
294,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
295,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,0
296,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,0
297,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,0
298,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True,1
299,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,1
300,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,1
301,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False,1
302,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,0
303,2,female,,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,1
304,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,0
305,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,1
306,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True,1
307,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,1
308,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False,0
309,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,1
310,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,1
311,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,1
312,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False,0
313,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
314,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,0
315,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True,1
316,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,1
317,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,0
318,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,1
319,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,1
320,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,0
321,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
322,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,1
323,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False,1
324,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,0
325,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,1
326,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True,0
327,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True,1
328,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False,1
329,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,1
330,3,female,,2,0,23.25,Q,Third,woman,False,,Queenstown,yes,False,1
331,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True,0
332,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False,0
333,3,male,16.0,2,0,18.0,S,Third,man,True,,Southampton,no,False,0
334,1,female,,1,0,133.65,S,First,woman,False,,Southampton,yes,False,1
335,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,0
336,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False,0
337,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True,1
338,3,male,45.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,1
339,1,male,45.0,0,0,35.5,S,First,man,True,,Southampton,no,True,0
340,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,1
341,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,1
342,2,male,28.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
343,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
344,2,male,36.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,0
345,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True,1
346,2,female,40.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,1
